stt,architectureCode,propertyType,architectureLabel,canonicalFile
01,CH-53,SONG_LAP,SONG LẬP - TÂN CỔ ĐIỂN,CH53_SONG_LAP.jpg
02,CH-53,LK,LIỀN KỀ - TÂN CỔ ĐIỂN,CH53_LK.jpg
03,CH-08,LK,LIỀN KỀ - CỔ ĐIỂN,CH08_LK.jpg
04,CH-08,SONG_LAP,SONG LẬP - CỔ ĐIỂN,CH08_SONG_LAP.jpg
05,CH-71,SONG_LAP,SONG LẬP - NHẬT BẢN ĐƯƠNG ĐẠI,CH71_SONG_LAP.jpg
06,CH-71,LK,LIỀN KỀ - NHẬT BẢN ĐƯƠNG ĐẠI,CH71_LK.jpg
07,CH-59,LK,LIỀN KỀ - HIỆN ĐẠI NHIỆT ĐỚI,CH59_LK.jpg
08,CH-59,DON_LAP,ĐƠN LẬP - HIỆN ĐẠI NHIỆT ĐỚI,CH59_DON_LAP.jpg
09,CH-59,SONG_LAP,SONG LẬP - HIỆN ĐẠI NHIỆT ĐỚI,CH59_SONG_LAP.jpg
10,CH-52,LK,LIỀN KỀ - HIỆN ĐẠI XANH,CH52_LK.jpg
11,CH-75,LK,LIỀN KỀ - HIỆN ĐẠI XANH,CH75_LK.jpg
12,CH-75,SONG_LAP,SONG LẬP - HIỆN ĐẠI XANH,CH75_SONG_LAP.jpg
13,CH-29,LK,LIỀN KỀ - NHẬT BẢN,CH29_LK.jpg
14,CH-15,LK,LIỀN KỀ - HÀN QUỐC,CH15_LK.jpg
15,CH-19,LK,LIỀN KỀ - HỘI AN,CH19_LK.jpg
16,CH-13,LK,LIỀN KỀ - ĐÔNG ÂU,CH13_LK.jpg
